,,,Codon Position 2
freqCT,0.112085777,0.123758645,0.000199922
freqGA,0.149130561,0.189073361,0.00031981
freqTC,0.259057079,0.223288873,0.000371827
freqAG,0.157821578,0.14061635,0.000232345
freqGT,0.032618304,0.041354718,6.99E-05
freqCA,0.045756044,0.050521183,8.16E-05
freqGC,0.03539835,0.044879365,7.59E-05
freqTA,0.043657515,0.037629689,6.27E-05
freqAT,0.042874783,0.038200705,6.31E-05
freqCG,0.018960992,0.020935633,3.38E-05
freqAC,0.04384645,0.039066443,6.46E-05
freqTG,0.058792569,0.050675035,8.44E-05
