,As,Cs,Gs,Ns,Ts,coverage,majorbases,position
0,148,61,30,0,30,269,148,0
1,65,45,265,0,66,441,265,1
2,82,40,201,0,203,526,203,2
3,81,108,150,0,244,583,244,3
4,41,36,411,0,145,633,411,4
5,45,38,108,0,495,686,495,5
6,43,77,138,0,476,735,476,6
7,252,110,236,0,159,760,252,7
8,15,18,602,0,191,826,602,8
9,75,119,102,0,633,929,633,9
10,97,402,214,0,269,985,402,10
11,33,77,100,0,806,1018,806,11
12,577,26,188,0,3957,4753,3957,12
13,167,6223,82,0,453,6926,6223,13
14,17,101,6844,0,453,7422,6844,14
15,55,58,27,0,7857,7999,7857,15
16,59,29,7827,0,85,8000,7827,16
17,68,34,7682,0,217,8001,7682,17
18,7515,139,119,0,229,8002,7515,18
19,52,7647,145,0,152,8003,7647,19
20,94,7519,98,0,290,8004,7519,20
21,19,20,7839,0,126,8005,7839,21
22,7726,71,63,0,144,8006,7726,22
23,39,7764,77,0,114,8007,7764,23
24,7568,50,158,0,227,8008,7568,24
25,7602,147,101,0,156,8009,7602,25
26,7725,68,70,0,147,8010,7725,26
27,19,27,7826,0,139,8011,7826,27
28,7756,30,38,0,188,8012,7756,28
29,16,7908,24,0,65,8013,7908,29
30,7710,70,121,0,108,8014,7710,30
31,18,9,7854,0,131,8015,7854,31
32,7815,25,82,0,90,8016,7815,32
33,21,11,19,0,7962,8017,7962,33
34,10,7,40,0,7960,8018,7960,34
35,38,7807,36,0,137,8019,7807,35
36,4,30,14,0,7972,8020,7972,36
37,6,32,17,0,7966,8021,7966,37
38,12,13,44,0,7953,8022,7953,38
39,17,19,7917,0,51,8023,7917,39
40,7855,95,13,0,59,8024,7855,40
41,9,52,7906,0,53,8025,7906,41
42,25,37,7878,0,86,8026,7878,42
43,13,29,7939,0,46,8027,7939,43
44,7933,36,9,0,50,8028,7933,44
45,4,47,7926,0,51,8029,7926,45
46,35,7849,18,0,127,8030,7849,46
47,3,5,39,0,7984,8031,7984,47
48,7873,57,50,0,31,8032,7873,48
49,7937,16,7,0,54,8033,7937,49
50,7,4,7998,0,24,8034,7998,50
51,17,7948,4,0,65,8035,7948,51
52,8,10,12,0,8005,8036,8005,52
53,15,7981,12,0,29,8037,7981,53
54,7996,18,8,0,16,8038,7996,54
55,7985,10,7,0,37,8039,7985,55
56,11,8012,5,0,12,8040,8012,56
57,2,8,8011,0,18,8040,8011,57
58,9,11,10,0,8011,8041,8011,58
59,7971,14,19,0,37,8042,7971,59
60,7,6,8015,0,15,8043,8015,60
61,11,42,6,0,7985,8044,7985,61
62,6,3,5,0,8031,8045,8031,62
63,10,8020,1,0,15,8046,8020,63
64,4,3,4,0,8036,8047,8036,64
65,8006,8,3,0,29,8048,8006,65
66,7996,24,2,0,27,8049,7996,66
67,10,8033,0,0,7,8050,8033,67
68,8005,14,11,0,20,8051,8005,68
69,10,6,8021,0,14,8052,8021,69
70,8,12,3,0,8018,8053,8018,70
71,4,7,3,0,8040,8054,8040,71
72,2,1,5,0,8047,8055,8047,72
73,1,3,0,0,8052,8056,8052,73
74,2,4,0,0,8050,8057,8050,74
75,3,1,1,0,8049,8055,8049,75
76,8039,8,1,0,6,8055,8039,76
77,8038,11,1,0,5,8055,8038,77
78,1,0,2,0,8053,8056,8053,78
79,1,1,2,0,8053,8057,8053,79
80,8046,9,1,0,0,8058,8046,80
81,6,3,8044,0,6,8059,8044,81
82,8033,11,5,0,5,8054,8033,82
83,2,2,8044,0,5,8053,8044,83
84,7995,11,2,0,4,8012,7995,84
85,2,4,8000,0,7,8013,8000,85
86,10,8002,0,0,1,8013,8002,86
87,8009,3,0,0,2,8014,8009,87
88,2,2,8007,0,3,8015,8007,88
89,7996,8,1,0,3,8008,7996,89
90,8,4,1,0,7996,8009,7996,90
91,9,7992,2,0,7,8010,7992,91
92,3,5,5,0,7997,8010,7997,92
93,7,7986,4,0,14,8011,7986,93
94,1,2,3,0,8006,8012,8006,94
95,2,3,8002,0,3,8010,8002,95
96,7853,15,1,0,4,7873,7853,96
97,3,4,3,0,7984,7994,7984,97
98,4,3,7577,0,5,7589,7577,98
99,7591,6,2,0,114,7713,7591,99
100,7730,15,1,0,242,7988,7730,100
101,2,9,2,0,7979,7992,7979,101
102,7838,9,0,0,13,7861,7838,102
103,7865,14,8,0,58,7945,7865,103
104,11,7960,4,0,14,7989,7960,104
105,18,7865,5,0,5,7893,7865,105
106,7882,13,10,0,0,7905,7882,106
107,7780,11,8,0,67,7866,7780,107
108,11,7974,7,0,5,7997,7974,108
109,22,11,7671,0,6,7710,7671,109
110,7928,24,38,0,5,7996,7928,110
111,7954,28,9,0,7,7998,7954,111
112,7958,28,6,0,5,7997,7958,112
113,7963,21,6,0,5,7995,7963,113
114,7956,23,9,0,0,7988,7956,114
115,7974,16,2,0,4,7996,7974,115
116,9,8,7953,0,11,7981,7953,116
117,17,5,7854,0,11,7887,7854,117
118,27,7939,5,0,9,7980,7939,118
119,3,4,7875,0,5,7887,7875,119
120,7927,19,9,0,7,7962,7927,120
121,8,3,7976,0,10,7997,7976,121
122,7940,10,7,0,9,7969,7940,122
123,7953,19,10,0,13,7995,7953,123
124,7960,29,4,0,5,7998,7960,124
125,4,7,5,0,7983,7999,7983,125
126,7955,17,2,0,26,8000,7955,126
127,18,7966,8,0,9,8001,7966,127
128,8,5,7983,0,5,8001,7983,128
129,22,7965,5,0,7,8000,7965,129
130,35,7944,8,0,13,8000,7944,130
131,7,7,4,0,7977,7995,7977,131
132,4,3,6,0,7985,7998,7985,132
133,9,7,3,0,7979,7998,7979,133
134,19,7969,1,0,9,7998,7969,134
135,7968,15,3,0,7,7995,7968,135
136,7934,23,8,0,5,7972,7934,136
137,7,3,8,0,7979,7999,7979,137
138,7961,13,2,0,2,7978,7961,138
139,4,1,6,0,7982,7998,7982,139
140,7,1,7980,0,4,7992,7980,140
141,26,7945,1,0,14,7986,7945,141
142,6,8,3,0,7953,7970,7953,142
143,9,15,7827,0,6,7857,7827,143
144,7872,32,2,0,53,7959,7872,144
145,7943,38,9,0,3,7993,7943,145
